treeModel rep method clockModel mse
D750_3_25 rep013 emd trilnormcave 12.1989
D750_3_25 rep013 emd trilnorm 80.247
D750_3_25 rep013 emd trilnormvex 17.5904
D750_3_25 rep014 emd quartlnorm 57.4862
D750_3_25 rep014 emd trilnormcave 12.749
D750_3_25 rep014 emd trilnorm 46.9653
D750_3_25 rep014 emd trilnormvex 14.0847
D750_3_25 rep015 emd quartlnorm 23.1978
D750_3_25 rep015 emd trilnormcave 14.4588
D750_3_25 rep015 emd trilnorm 59.6507
D750_3_25 rep015 emd trilnormvex 21.7731
D750_3_25 rep016 emd quartlnorm 84.6212
D750_3_25 rep016 emd trilnormcave 10.7816
D750_3_25 rep016 emd trilnorm 54.4243
D750_3_25 rep016 emd trilnormvex 67.3964
D750_3_25 rep017 emd quartlnorm 62.8246
D750_3_25 rep017 emd trilnormcave 9.44166
D750_3_25 rep017 emd trilnorm 46.9404
D750_3_25 rep017 emd trilnormvex 24.9936
D750_3_25 rep018 emd quartlnorm 29.0716
D750_3_25 rep018 emd trilnormcave 24.4989
D750_3_25 rep018 emd trilnorm 91.2805
D750_3_25 rep018 emd trilnormvex 17.1876
D750_3_25 rep019 emd quartlnorm 27.7598
D750_3_25 rep019 emd trilnormcave 37.2064
D750_3_25 rep019 emd trilnorm 19.4949
D750_3_25 rep019 emd trilnormvex 58.9785
D750_3_25 rep020 emd quartlnorm 37.0292
D750_3_25 rep020 emd trilnormcave 74.4808
D750_3_25 rep020 emd trilnorm 49.7734
D750_3_25 rep020 emd trilnormvex 26.2442
D750_3_25 rep021 emd quartlnorm 44.9777
D750_3_25 rep021 emd trilnormcave 41.5916
D750_3_25 rep021 emd trilnorm 15.3356
D750_3_25 rep021 emd trilnormvex 23.8357
D750_3_25 rep022 emd quartlnorm 48.732
D750_3_25 rep022 emd trilnormcave 48.013
D750_3_25 rep022 emd trilnorm 44.7604
D750_3_25 rep022 emd trilnormvex 22.5876
D750_3_25 rep023 emd quartlnorm 24.9189
D750_3_25 rep023 emd trilnormcave 29.6234
D750_3_25 rep023 emd trilnorm 28.6159
D750_3_25 rep023 emd trilnormvex 60.5326
D750_3_25 rep024 emd quartlnorm 65.9886
D750_3_25 rep024 emd trilnormcave 30.4597
D750_3_25 rep024 emd trilnorm 22.9498
D750_3_25 rep024 emd trilnormvex 57.8143
D750_3_25 rep025 emd quartlnorm 45.1114
D750_3_25 rep025 emd trilnormcave 6.16728
D750_3_25 rep025 emd trilnorm 75.0168
D750_3_25 rep025 emd trilnormvex 23.269
D750_3_25 rep026 emd quartlnorm 128.53
D750_3_25 rep026 emd trilnormcave 38.0618
D750_3_25 rep026 emd trilnorm 589.031
D750_3_25 rep026 emd trilnormvex 30.9536
D750_3_25 rep027 emd quartlnorm 26.8804
D750_3_25 rep027 emd trilnormcave 45.3352
D750_3_25 rep027 emd trilnorm 44.7653
D750_3_25 rep027 emd trilnormvex 9.09586
D750_3_25 rep028 emd quartlnorm 36.5063
D750_3_25 rep028 emd trilnormcave 17.2406
D750_3_25 rep028 emd trilnorm 34.3933
D750_3_25 rep028 emd trilnormvex 60.7232
D750_3_25 rep029 emd quartlnorm 44.9256
D750_3_25 rep029 emd trilnormcave 14.5467
D750_3_25 rep029 emd trilnorm 9.66134
D750_3_25 rep029 emd trilnormvex 32.3553
D750_3_25 rep030 emd quartlnorm 55.7307
D750_3_25 rep030 emd trilnormcave 47.8122
D750_3_25 rep030 emd trilnorm 61.5273
D750_3_25 rep030 emd trilnormvex 15.8179
D750_3_25 rep031 emd quartlnorm 20.3952
D750_3_25 rep031 emd trilnormcave 28.1282
D750_3_25 rep031 emd trilnorm 30.4502
D750_3_25 rep031 emd trilnormvex 48.3601
D750_3_25 rep032 emd quartlnorm 35.2598
D750_3_25 rep032 emd trilnormcave 6.50437
D750_3_25 rep032 emd trilnorm 10.0705
D750_3_25 rep032 emd trilnormvex 10.1293
D750_3_25 rep033 emd quartlnorm 36.6242
D750_3_25 rep033 emd trilnormcave 17.9409
D750_3_25 rep033 emd trilnorm 170.821
D750_3_25 rep033 emd trilnormvex 81.0287
D750_3_25 rep034 emd quartlnorm 103.842
D750_3_25 rep034 emd trilnormcave 11.1122
D750_3_25 rep034 emd trilnorm 36.8237
D750_3_25 rep034 emd trilnormvex 14.4892
D750_3_25 rep035 emd quartlnorm 70.232
D750_3_25 rep035 emd trilnormcave 10.3738
D750_3_25 rep035 emd trilnorm 32.6959
D750_3_25 rep035 emd trilnormvex 49.3916
D750_3_25 rep036 emd quartlnorm 28.6002
D750_3_25 rep036 emd trilnormcave 5.94917
D750_3_25 rep036 emd trilnorm 21.9984
D750_3_25 rep036 emd trilnormvex 38.3267
D750_3_25 rep037 emd quartlnorm 15.8252
D750_3_25 rep037 emd trilnormcave 18.4064
D750_3_25 rep037 emd trilnorm 165.464
D750_3_25 rep037 emd trilnormvex 77.9634
D750_3_25 rep038 emd quartlnorm 47.7584
D750_3_25 rep038 emd trilnormcave 12.1703
D750_3_25 rep038 emd trilnorm 26.8903
D750_3_25 rep038 emd trilnormvex 32.2364
D750_3_25 rep039 emd quartlnorm 47.8863
