treeModel rep method clockModel tmrca
D750_11_10 rep062 lsd trilnormvex -2.650047
D750_11_10 rep063 lsd quartlnorm -3.3674237000000002
D750_11_10 rep063 lsd trilnormcave -1.8790830000000007
D750_11_10 rep063 lsd trilnorm -0.9591570000000003
D750_11_10 rep063 lsd trilnormvex -3.4925009999999994
D750_11_10 rep064 lsd quartlnorm 1.6130530000000007
D750_11_10 rep064 lsd trilnormcave -1.4365769999999993
D750_11_10 rep064 lsd trilnorm -0.7695469999999995
D750_11_10 rep064 lsd trilnormvex -5.242667
D750_11_10 rep065 lsd quartlnorm 1.7747080000000004
D750_11_10 rep065 lsd trilnormcave -1.534478
D750_11_10 rep065 lsd trilnorm -3.2941039999999995
D750_11_10 rep065 lsd trilnormvex -3.573789000000001
D750_11_10 rep066 lsd quartlnorm -4.644516999999999
D750_11_10 rep066 lsd trilnormcave -1.2895669999999995
D750_11_10 rep066 lsd trilnorm -7.110106999999998
D750_11_10 rep066 lsd trilnormvex -6.195333000000001
D750_11_10 rep067 lsd quartlnorm -2.4129769999999997
D750_11_10 rep067 lsd trilnormcave -0.24702599999999952
D750_11_10 rep067 lsd trilnorm -5.581717000000001
D750_11_10 rep067 lsd trilnormvex -3.470147
D750_11_10 rep068 lsd quartlnorm -0.4281170000000003
D750_11_10 rep068 lsd trilnormcave -2.1973869999999995
D750_11_10 rep068 lsd trilnorm 0.9031229999999997
D750_11_10 rep068 lsd trilnormvex -3.7219870000000004
D750_11_10 rep069 lsd quartlnorm -4.031277
D750_11_10 rep069 lsd trilnormcave -0.5195029999999996
D750_11_10 rep069 lsd trilnorm -0.37089700000000025
D750_11_10 rep069 lsd trilnormvex -9.887715
D750_11_10 rep070 lsd quartlnorm 0.640336
D750_11_10 rep070 lsd trilnormcave -1.2987660000000005
D750_11_10 rep070 lsd trilnorm -6.267680999999999
D750_11_10 rep070 lsd trilnormvex -2.1856670000000005
D750_11_10 rep071 lsd quartlnorm -2.543009
D750_11_10 rep071 lsd trilnormcave -1.1893859999999994
D750_11_10 rep071 lsd trilnorm -4.782547000000001
D750_11_10 rep071 lsd trilnormvex 0.7405829999999998
D750_11_10 rep072 lsd quartlnorm -6.297307999999999
D750_11_10 rep072 lsd trilnormcave -0.028293000000000013
D750_11_10 rep072 lsd trilnorm -0.8635809999999995
D750_11_10 rep072 lsd trilnormvex -3.453187
D750_11_10 rep073 lsd quartlnorm -9.121262000000002
D750_11_10 rep073 lsd trilnormcave -3.0659200000000033
D750_11_10 rep073 lsd trilnorm -3.079447
D750_11_10 rep073 lsd trilnormvex 1.8710849999999983
D750_11_10 rep074 lsd quartlnorm -1.1010670000000016
D750_11_10 rep074 lsd trilnormcave -2.9069740000000017
D750_11_10 rep074 lsd trilnorm -0.814017000000002
D750_11_10 rep074 lsd trilnormvex -1.5108770000000016
D750_11_10 rep075 lsd quartlnorm -4.657767000000002
D750_11_10 rep075 lsd trilnormcave -5.661917000000001
D750_11_10 rep075 lsd trilnorm -1.2820670000000032
D750_11_10 rep075 lsd trilnormvex 1.4162519999999967
D750_11_10 rep076 lsd quartlnorm -5.416977
D750_11_10 rep076 lsd trilnormcave -2.756233
D750_11_10 rep076 lsd trilnorm -1.5229400000000008
D750_11_10 rep076 lsd trilnormvex -2.9759831700000006
D750_11_10 rep077 lsd quartlnorm -12.666947
D750_11_10 rep077 lsd trilnormcave -3.8325570000000018
D750_11_10 rep077 lsd trilnorm -5.706607
D750_11_10 rep077 lsd trilnormvex -5.658097000000003
D750_11_10 rep078 lsd quartlnorm -9.947827
D750_11_10 rep078 lsd trilnormcave 0.6954779999999998
D750_11_10 rep078 lsd trilnorm -5.076865
D750_11_10 rep078 lsd trilnormvex -6.199327
D750_11_10 rep079 lsd quartlnorm -5.313617000000001
D750_11_10 rep079 lsd trilnormcave -5.965217000000003
D750_11_10 rep079 lsd trilnorm 1.6068829999999998
D750_11_10 rep079 lsd trilnormvex 1.4195829999999994
D750_11_10 rep080 lsd quartlnorm -0.6156050000000013
D750_11_10 rep080 lsd trilnormcave -0.9060956
D750_11_10 rep080 lsd trilnorm -0.7576080000000001
D750_11_10 rep080 lsd trilnormvex -1.220275
D750_11_10 rep081 lsd quartlnorm -7.723797
D750_11_10 rep081 lsd trilnormcave 0.09168100000000029
D750_11_10 rep081 lsd trilnorm 0.581053
D750_11_10 rep081 lsd trilnormvex -3.2171069999999995
D750_11_10 rep082 lsd quartlnorm -7.351987000000002
D750_11_10 rep082 lsd trilnormcave -1.6709810000000027
D750_11_10 rep082 lsd trilnorm 0.6518009999999992
D750_11_10 rep082 lsd trilnormvex 1.0475519999999994
D750_11_10 rep083 lsd quartlnorm -2.498727000000002
D750_11_10 rep083 lsd trilnormcave 1.9355524999999978
D750_11_10 rep083 lsd trilnorm -2.773500000000001
D750_11_10 rep083 lsd trilnormvex -3.275734000000002
D750_11_10 rep084 lsd quartlnorm 2.996019
D750_11_10 rep084 lsd trilnormcave 0.740997000000001
D750_11_10 rep084 lsd trilnorm 0.3059930000000006
D750_11_10 rep084 lsd trilnormvex -4.109367000000001
D750_11_10 rep085 lsd quartlnorm -5.218057
D750_11_10 rep085 lsd trilnormcave -0.8844070000000002
D750_11_10 rep085 lsd trilnorm -3.276781999999999
D750_11_10 rep085 lsd trilnormvex -3.830374000000001
D750_11_10 rep086 lsd quartlnorm -2.247337
D750_11_10 rep086 lsd trilnormcave -0.0858830000000006
D750_11_10 rep086 lsd trilnorm -5.334676999999999
D750_11_10 rep086 lsd trilnormvex -2.5710569999999993
D750_11_10 rep087 lsd quartlnorm 0.5537167999999975
D750_11_10 rep087 lsd trilnormcave -3.897067000000003
D750_11_10 rep087 lsd trilnorm -0.7647670000000018
D750_11_10 rep087 lsd trilnormvex -4.281587000000003
D750_11_10 rep088 lsd quartlnorm -2.1195570000000004
D750_11_10 rep088 lsd trilnormcave -1.801599
D750_11_10 rep088 lsd trilnorm 1.3528928999999998
D750_11_10 rep088 lsd trilnormvex -0.9949670000000006
D750_11_10 rep089 lsd quartlnorm -12.700177000000002
D750_11_10 rep089 lsd trilnormcave -0.10517700000000185
D750_11_10 rep089 lsd trilnorm -5.3360069999999995
D750_11_10 rep089 lsd trilnormvex -0.5142060000000012
D750_11_10 rep090 lsd quartlnorm 0.2755610000000006
D750_11_10 rep090 lsd trilnormcave 0.4642799999999996
D750_11_10 rep090 lsd trilnorm -3.8557740000000003
D750_11_10 rep090 lsd trilnormvex -4.7345109999999995
D750_11_10 rep091 lsd quartlnorm -9.632637
D750_11_10 rep091 lsd trilnormcave -1.951548000000003
D750_11_10 rep091 lsd trilnorm 0.3381699999999985
D750_11_10 rep091 lsd trilnormvex -2.605738600000002
D750_11_10 rep092 lsd quartlnorm -3.9853664000000024
D750_11_10 rep092 lsd trilnormcave 2.0212869999999974
D750_11_10 rep092 lsd trilnorm -0.7020130000000014
D750_11_10 rep092 lsd trilnormvex -4.983477000000003
D750_11_10 rep093 lsd quartlnorm -1.1109769999999999
D750_11_10 rep093 lsd trilnormcave -6.062278699999999
D750_11_10 rep093 lsd trilnorm -4.865981
D750_11_10 rep093 lsd trilnormvex -2.9652089999999998
D750_11_10 rep094 lsd quartlnorm -1.6660778000000014
D750_11_10 rep094 lsd trilnormcave -0.46495200000000025
D750_11_10 rep094 lsd trilnorm -2.2569500000000007
D750_11_10 rep094 lsd trilnormvex -2.882382000000001
D750_11_10 rep095 lsd quartlnorm -5.657547000000001
D750_11_10 rep095 lsd trilnormcave 1.8171229999999978
D750_11_10 rep095 lsd trilnorm 0.10689299999999724
D750_11_10 rep095 lsd trilnormvex 0.36975299999999844
D750_11_10 rep096 lsd quartlnorm -0.39057499999999845
D750_11_10 rep096 lsd trilnormcave -0.3336760000000032
D750_11_10 rep096 lsd trilnorm -3.692966000000002
D750_11_10 rep096 lsd trilnormvex -1.3046570000000015
D750_11_10 rep097 lsd quartlnorm -4.234976999999999
D750_11_10 rep097 lsd trilnormcave -1.8172449999999996
D750_11_10 rep097 lsd trilnorm -3.1660770000000005
D750_11_10 rep097 lsd trilnormvex -4.834363000000001
D750_11_10 rep098 lsd quartlnorm -0.5629670000000004
D750_11_10 rep098 lsd trilnormcave -2.3539499999999993
D750_11_10 rep098 lsd trilnorm -4.932983999999999
D750_11_10 rep098 lsd trilnormvex -4.077043
D750_11_10 rep099 lsd quartlnorm -3.7225170000000016
D750_11_10 rep099 lsd trilnormcave 1.7366479999999984
D750_11_10 rep099 lsd trilnorm 2.102174999999998
D750_11_10 rep099 lsd trilnormvex -2.5287370000000022
D750_11_10 rep100 lsd quartlnorm -1.780848999999999
D750_11_10 rep100 lsd trilnormcave -1.5799870000000003
D750_11_10 rep100 lsd trilnorm -0.12351200000000129
D750_11_10 rep100 lsd trilnormvex -5.607234
D750_3_25 rep001 lsd quartlnorm -5.265905
D750_3_25 rep001 lsd trilnormcave -20.679228000000002
D750_3_25 rep001 lsd trilnorm -0.7004440000000063
D750_3_25 rep001 lsd trilnormvex -35.456242
D750_3_25 rep002 lsd quartlnorm -72.799174
D750_3_25 rep002 lsd trilnormcave -2.9974139999999956
D750_3_25 rep002 lsd trilnorm -18.631584000000004
D750_3_25 rep002 lsd trilnormvex -15.469743999999999
D750_3_25 rep003 lsd quartlnorm -27.715584000000003
D750_3_25 rep003 lsd trilnormcave 15.608471999999997
D750_3_25 rep003 lsd trilnorm -74.912604
D750_3_25 rep003 lsd trilnormvex -37.293524000000005
D750_3_25 rep004 lsd quartlnorm -20.504783999999997
D750_3_25 rep004 lsd trilnormcave -1.2049840000000032
D750_3_25 rep004 lsd trilnorm -20.875383999999997
D750_3_25 rep004 lsd trilnormvex -31.617184000000005
D750_3_25 rep005 lsd quartlnorm -48.508084000000004
D750_3_25 rep005 lsd trilnormcave -0.04531399999999941
D750_3_25 rep005 lsd trilnorm -2.506914
D750_3_25 rep005 lsd trilnormvex -21.974804
D750_3_25 rep006 lsd quartlnorm -19.024244000000003
D750_3_25 rep006 lsd trilnormcave 9.828295999999998
D750_3_25 rep006 lsd trilnorm -5.460924000000001
D750_3_25 rep006 lsd trilnormvex -12.177054000000002
D750_3_25 rep007 lsd quartlnorm 9.287816
D750_3_25 rep007 lsd trilnormcave -21.818983999999997
D750_3_25 rep007 lsd trilnorm -15.039184000000004
D750_3_25 rep007 lsd trilnormvex -50.756684
D750_3_25 rep008 lsd quartlnorm -14.237284000000002
D750_3_25 rep008 lsd trilnormcave -0.29898399999999725
D750_3_25 rep008 lsd trilnorm 0.9991159999999972
D750_3_25 rep008 lsd trilnormvex -20.479484
D750_3_25 rep009 lsd quartlnorm -23.237523999999997
D750_3_25 rep009 lsd trilnormcave -7.523713999999999
D750_3_25 rep009 lsd trilnorm -20.489524000000003
D750_3_25 rep009 lsd trilnormvex 7.578142000000002
D750_3_25 rep010 lsd quartlnorm -28.658184
D750_3_25 rep010 lsd trilnormcave -9.758384000000003
D750_3_25 rep010 lsd trilnorm -26.246283999999996
D750_3_25 rep010 lsd trilnormvex -19.477784
D750_3_25 rep011 lsd quartlnorm 1.1444489999999972
D750_3_25 rep011 lsd trilnormcave -21.476514
D750_3_25 rep011 lsd trilnorm -8.458173999999998
D750_3_25 rep011 lsd trilnormvex -2.2196839999999964
D750_3_25 rep012 lsd quartlnorm -55.150223999999994
D750_3_25 rep012 lsd trilnormcave -14.099234000000006
D750_3_25 rep012 lsd trilnorm -11.421573999999998
D750_3_25 rep012 lsd trilnormvex -54.62715400000001
D750_3_25 rep013 lsd quartlnorm -54.907444
D750_3_25 rep013 lsd trilnormcave 7.690015999999998
D750_3_25 rep013 lsd trilnorm -106.24265399999999
D750_3_25 rep013 lsd trilnormvex -5.1542939999999975
D750_3_25 rep014 lsd quartlnorm -35.008784000000006
D750_3_25 rep014 lsd trilnormcave 17.597639
D750_3_25 rep014 lsd trilnorm -26.534564
D750_3_25 rep014 lsd trilnormvex -19.824017000000005
D750_3_25 rep015 lsd quartlnorm 4.011729000000001
D750_3_25 rep015 lsd trilnormcave -6.0864340000000015
D750_3_25 rep015 lsd trilnorm 10.094752999999999
D750_3_25 rep015 lsd trilnormvex -25.060544
D750_3_25 rep016 lsd quartlnorm -21.0067181
D750_3_25 rep016 lsd trilnormcave 6.737505999999998
D750_3_25 rep016 lsd trilnorm -18.871043999999998
D750_3_25 rep016 lsd trilnormvex -6.493684
D750_3_25 rep017 lsd quartlnorm -70.77884
D750_3_25 rep017 lsd trilnormcave -13.708131999999999
D750_3_25 rep017 lsd trilnorm 6.358325999999999
D750_3_25 rep017 lsd trilnormvex -25.267194000000003
D750_3_25 rep018 lsd quartlnorm -32.429074
D750_3_25 rep018 lsd trilnormcave -6.190094000000004
D750_3_25 rep018 lsd trilnorm 14.511444000000001
D750_3_25 rep018 lsd trilnormvex -0.19714500000000376
D750_3_25 rep019 lsd quartlnorm -2.658324
D750_3_25 rep019 lsd trilnormcave -15.686174000000001
D750_3_25 rep019 lsd trilnorm -4.593794000000002
D750_3_25 rep019 lsd trilnormvex -15.418114
D750_3_25 rep020 lsd quartlnorm -36.069484
D750_3_25 rep020 lsd trilnormcave -32.528908
D750_3_25 rep020 lsd trilnorm -5.449204
D750_3_25 rep020 lsd trilnormvex -69.007074
D750_3_25 rep021 lsd quartlnorm -160.690984
D750_3_25 rep021 lsd trilnormcave 4.612166000000003
D750_3_25 rep021 lsd trilnorm -49.271884
D750_3_25 rep021 lsd trilnormvex -8.003863999999998
D750_3_25 rep022 lsd quartlnorm -24.107704
D750_3_25 rep022 lsd trilnormcave -28.992914000000003
D750_3_25 rep022 lsd trilnorm -47.165003999999996
