treeModel clockModel method rep error
D750_11_10 gamma wLogDate rep051 0.3956998494844616
D750_11_10 gamma MD-Cat rep051 0.45923820720812686
D750_11_10 exp wLogDate rep051 1.2837945985587438
D750_11_10 exp MD-Cat rep051 1.268655409769327
D750_11_10 unif wLogDate rep052 0.997050003714832
D750_11_10 unif MD-Cat rep052 1.1299139210548454
D750_11_10 lognorm wLogDate rep052 0.4269854476733673
D750_11_10 lognorm MD-Cat rep052 0.4728100449028191
D750_11_10 gamma wLogDate rep052 0.35421428279221046
D750_11_10 gamma MD-Cat rep052 0.419519197192942
D750_11_10 exp wLogDate rep052 1.4680974122560095
D750_11_10 exp MD-Cat rep052 1.530934499595956
D750_11_10 unif wLogDate rep053 1.3370459998595725
D750_11_10 unif MD-Cat rep053 1.0884316545558275
D750_11_10 lognorm wLogDate rep053 0.32780889598217616
D750_11_10 lognorm MD-Cat rep053 0.34411594422738373
D750_11_10 gamma wLogDate rep053 0.6360608784972706
D750_11_10 gamma MD-Cat rep053 0.49554660177812326
D750_11_10 exp wLogDate rep053 1.934078772570267
D750_11_10 exp MD-Cat rep053 1.5091493226613988
D750_11_10 unif wLogDate rep054 0.9973071657759915
D750_11_10 unif MD-Cat rep054 0.9838107343248187
D750_11_10 lognorm wLogDate rep054 0.3613943178059374
D750_11_10 lognorm MD-Cat rep054 0.4102099930951533
D750_11_10 gamma wLogDate rep054 0.3556774172585873
D750_11_10 gamma MD-Cat rep054 0.4018728476202819
D750_11_10 exp wLogDate rep054 1.1720283913354428
D750_11_10 exp MD-Cat rep054 1.186386992840974
D750_11_10 unif wLogDate rep055 0.9716766784961466
D750_11_10 unif MD-Cat rep055 0.9531906874196531
D750_11_10 lognorm wLogDate rep055 0.3621512143850653
D750_11_10 lognorm MD-Cat rep055 0.4784852498501826
D750_11_10 gamma wLogDate rep055 0.3493709706760418
D750_11_10 gamma MD-Cat rep055 0.4094514253479037
D750_11_10 exp wLogDate rep055 1.5327612663434842
D750_11_10 exp MD-Cat rep055 1.2410764002685144
D750_11_10 unif wLogDate rep056 1.1332672218068398
D750_11_10 unif MD-Cat rep056 1.1168591620608304
D750_11_10 lognorm wLogDate rep056 0.5648157296729447
D750_11_10 lognorm MD-Cat rep056 0.4153587867030675
D750_11_10 gamma wLogDate rep056 0.5335239065185812
D750_11_10 gamma MD-Cat rep056 0.3874435600590798
D750_11_10 exp wLogDate rep056 1.5864662518332513
D750_11_10 exp MD-Cat rep056 1.4562729707193487
D750_11_10 unif wLogDate rep057 0.933424762895668
D750_11_10 unif MD-Cat rep057 1.1979703784784146
D750_11_10 lognorm wLogDate rep057 0.3624822224177192
D750_11_10 lognorm MD-Cat rep057 0.3751753571441898
D750_11_10 gamma wLogDate rep057 0.7071745869955722
D750_11_10 gamma MD-Cat rep057 0.56547694404279
D750_11_10 exp wLogDate rep057 1.4935794849809494
D750_11_10 exp MD-Cat rep057 1.3572173198360038
D750_11_10 unif wLogDate rep058 1.2836924877644145
D750_11_10 unif MD-Cat rep058 1.3630946128944226
D750_11_10 lognorm wLogDate rep058 0.38259363656493234
D750_11_10 lognorm MD-Cat rep058 0.38929098128684286
D750_11_10 gamma wLogDate rep058 0.6184484217107967
D750_11_10 gamma MD-Cat rep058 0.49927414769559897
D750_11_10 exp wLogDate rep058 1.4987580923332018
D750_11_10 exp MD-Cat rep058 1.6014977378987496
D750_11_10 unif wLogDate rep059 1.1871854307207867
D750_11_10 unif MD-Cat rep059 0.8692320493002662
D750_11_10 lognorm wLogDate rep059 0.36738269202839446
D750_11_10 lognorm MD-Cat rep059 0.4872106673620828
D750_11_10 gamma wLogDate rep059 0.3762605100712038
D750_11_10 gamma MD-Cat rep059 0.38491853170010965
D750_11_10 exp wLogDate rep059 1.4802691549892577
D750_11_10 exp MD-Cat rep059 1.314192967571669
D750_11_10 unif wLogDate rep060 0.8174619159247185
D750_11_10 unif MD-Cat rep060 0.9646265837935581
D750_11_10 lognorm wLogDate rep060 0.34650007375022845
D750_11_10 lognorm MD-Cat rep060 0.3599636038800782
D750_11_10 gamma wLogDate rep060 0.39365728998587124
D750_11_10 gamma MD-Cat rep060 0.4073715148535602
D750_11_10 exp wLogDate rep060 1.4403262794915714
D750_11_10 exp MD-Cat rep060 1.0586820942161532
D750_11_10 unif wLogDate rep061 0.9257744822475079
D750_11_10 unif MD-Cat rep061 1.0703161633945586
D750_11_10 lognorm wLogDate rep061 0.3635419246431522
D750_11_10 lognorm MD-Cat rep061 0.41980103393406626
D750_11_10 gamma wLogDate rep061 0.33955056531419747
D750_11_10 gamma MD-Cat rep061 0.3938911290605274
D750_11_10 exp wLogDate rep061 1.97740452940591
D750_11_10 exp MD-Cat rep061 1.1490564037479363
D750_11_10 unif wLogDate rep062 0.9559909232605186
D750_11_10 unif MD-Cat rep062 1.0875838215800109
D750_11_10 lognorm wLogDate rep062 0.36506132239369293
D750_11_10 lognorm MD-Cat rep062 0.3973309986185393
D750_11_10 gamma wLogDate rep062 0.3284608021085485
D750_11_10 gamma MD-Cat rep062 0.44885132547845485
D750_11_10 exp wLogDate rep062 1.9230264056095596
D750_11_10 exp MD-Cat rep062 1.448776073410517
