"scenario" "rep" "k" "nodeName" "trueNodeAge" "estNodeAge" "error"
"427" "scenario1" "rep001" 50 "I55" 26.0402 28.5802 0.0181428571428572
"428" "scenario1" "rep001" 50 "I56" 26.8496 32.3687 0.0394221428571428
"429" "scenario1" "rep001" 50 "I57" 28.4881 33.2144 0.0337592857142857
"430" "scenario1" "rep001" 50 "I58" 45.7523 34.0412 0.0836507142857142
"431" "scenario1" "rep001" 50 "I59" 89.2963 84.2151 0.0362942857142857
"432" "scenario1" "rep001" 50 "I6" 33.1967 46.6747 0.0962714285714286
"433" "scenario1" "rep001" 50 "I60" 31.2313 33.9489 0.0194114285714286
"434" "scenario1" "rep001" 50 "I61" 31.807 36.745 0.0352714285714286
"435" "scenario1" "rep001" 50 "I62" 34.9944 40.5854 0.0399357142857143
"436" "scenario1" "rep001" 50 "I63" 32.6694 37.5361 0.0347621428571428
"437" "scenario1" "rep001" 50 "I64" 33.8687 40.2451 0.0455457142857143
"438" "scenario1" "rep001" 50 "I65" 41.6289 44.7042 0.0219664285714286
"439" "scenario1" "rep001" 50 "I66" 44.4088 49.6376 0.0373485714285714
"440" "scenario1" "rep001" 50 "I67" 55.5269 60.2453 0.0337028571428572
"441" "scenario1" "rep001" 50 "I68" 33.642 35.2474 0.0114671428571428
"442" "scenario1" "rep001" 50 "I69" 33.6432 36.4357 0.0199464285714285
"443" "scenario1" "rep001" 50 "I7" 6.9627 5.2371 0.0123257142857143
"444" "scenario1" "rep001" 50 "I70" 39.5374 48.2215 0.0620292857142857
"445" "scenario1" "rep001" 50 "I71" 41.25 51.1585 0.070775
"446" "scenario1" "rep001" 50 "I72" 35.6755 37.505 0.0130678571428572
"447" "scenario1" "rep001" 50 "I73" 36.3187 40.3151 0.0285457142857143
"448" "scenario1" "rep001" 50 "I74" 37.3101 41.4566 0.0296178571428572
"449" "scenario1" "rep001" 50 "I8" 7.23236 6.4912 0.005294
"450" "scenario1" "rep001" 50 "I9" 16.9771 18.3051 0.00948571428571428
"451" "scenario1" "rep001" 5 "I0" 0 5.656 0.0404
"452" "scenario1" "rep001" 5 "I1" 1.89772 5.9356 0.028842
"453" "scenario1" "rep001" 5 "I10" 24.4452 60.7204 0.259108571428571
"454" "scenario1" "rep001" 5 "I11" 8.33087 8.2667 0.000458357142857148
"455" "scenario1" "rep001" 5 "I12" 52.2788 59.7556 0.0534057142857143
"456" "scenario1" "rep001" 5 "I13" 8.5159 8.4645 0.000367142857142864
"457" "scenario1" "rep001" 5 "I14" 36.5605 38.5849 0.01446
"458" "scenario1" "rep001" 5 "I15" 9.61193 8.6554 0.00683235714285714
"459" "scenario1" "rep001" 5 "I16" 18.552 21.0823 0.0180735714285714
"460" "scenario1" "rep001" 5 "I17" 64.4724 98.2789 0.241475
"461" "scenario1" "rep001" 5 "I18" 7.12688 8.1322 0.00718085714285714
"462" "scenario1" "rep001" 5 "I19" 12.9639 8.3937 0.0326442857142857
"463" "scenario1" "rep001" 5 "I2" 45.1116 18.8731 0.187417857142857
"464" "scenario1" "rep001" 5 "I20" 16.3031 10.095 0.0443435714285714
"465" "scenario1" "rep001" 5 "I21" 24.8599 15.7677 0.0649442857142857
"466" "scenario1" "rep001" 5 "I22" 30.0471 16.0361 0.100078571428571
"467" "scenario1" "rep001" 5 "I23" 32.4873 51.4024 0.135107857142857
