treeModel rep clockModel k_input k_uniq
D750_11_10 rep018 trilnormcave 50 4
D750_11_10 rep018 trilnormcave 5 3
D750_11_10 rep018 trilnorm 100 5
D750_11_10 rep018 trilnorm 10 5
D750_11_10 rep018 trilnorm 1 1
D750_11_10 rep018 trilnorm 218 11
D750_11_10 rep018 trilnorm 25 6
D750_11_10 rep018 trilnorm 2 2
D750_11_10 rep018 trilnorm 3 3
D750_11_10 rep018 trilnorm 50 6
D750_11_10 rep018 trilnorm 5 4
D750_11_10 rep018 trilnormvex 100 5
D750_11_10 rep018 trilnormvex 10 4
D750_11_10 rep018 trilnormvex 1 1
D750_11_10 rep018 trilnormvex 218 5
D750_11_10 rep018 trilnormvex 25 4
D750_11_10 rep018 trilnormvex 2 2
D750_11_10 rep018 trilnormvex 3 3
D750_11_10 rep018 trilnormvex 50 4
D750_11_10 rep018 trilnormvex 5 4
D750_11_10 rep018 trilnormvex 75 5
D750_11_10 rep019 trilnormcave 100 5
D750_11_10 rep019 trilnormcave 10 5
D750_11_10 rep019 trilnormcave 1 1
D750_11_10 rep019 trilnormcave 218 5
D750_11_10 rep019 trilnormcave 25 5
D750_11_10 rep019 trilnormcave 2 2
D750_11_10 rep019 trilnormcave 3 3
D750_11_10 rep019 trilnormcave 50 5
D750_11_10 rep019 trilnormcave 5 4
D750_11_10 rep019 trilnorm 100 7
D750_11_10 rep019 trilnorm 10 6
D750_11_10 rep019 trilnorm 1 1
D750_11_10 rep019 trilnorm 218 10
D750_11_10 rep019 trilnorm 25 8
D750_11_10 rep019 trilnorm 2 2
D750_11_10 rep019 trilnorm 3 3
D750_11_10 rep019 trilnorm 50 7
D750_11_10 rep019 trilnorm 5 4
D750_11_10 rep019 trilnormvex 100 5
D750_11_10 rep019 trilnormvex 10 4
D750_11_10 rep019 trilnormvex 1 1
D750_11_10 rep019 trilnormvex 218 5
D750_11_10 rep019 trilnormvex 25 5
D750_11_10 rep019 trilnormvex 2 2
D750_11_10 rep019 trilnormvex 3 3
D750_11_10 rep019 trilnormvex 50 7
D750_11_10 rep019 trilnormvex 5 4
D750_11_10 rep019 trilnormvex 75 6
D750_11_10 rep020 trilnormcave 100 6
D750_11_10 rep020 trilnormcave 10 3
D750_11_10 rep020 trilnormcave 1 1
D750_11_10 rep020 trilnormcave 218 5
D750_11_10 rep020 trilnormcave 25 4
D750_11_10 rep020 trilnormcave 2 2
D750_11_10 rep020 trilnormcave 3 3
D750_11_10 rep020 trilnormcave 50 5
D750_11_10 rep020 trilnormcave 5 3
D750_11_10 rep020 trilnorm 100 9
D750_11_10 rep020 trilnorm 10 5
D750_11_10 rep020 trilnorm 1 1
D750_11_10 rep020 trilnorm 218 7
D750_11_10 rep020 trilnorm 25 5
D750_11_10 rep020 trilnorm 2 2
D750_11_10 rep020 trilnorm 3 3
D750_11_10 rep020 trilnorm 50 8
D750_11_10 rep020 trilnorm 5 3
D750_11_10 rep020 trilnormvex 100 6
D750_11_10 rep020 trilnormvex 10 4
D750_11_10 rep020 trilnormvex 1 1
D750_11_10 rep020 trilnormvex 218 5
D750_11_10 rep020 trilnormvex 25 4
D750_11_10 rep020 trilnormvex 2 2
D750_11_10 rep020 trilnormvex 3 3
D750_11_10 rep020 trilnormvex 50 3
D750_11_10 rep020 trilnormvex 5 3
D750_11_10 rep020 trilnormvex 75 6
D750_3_25 rep001 trilnormcave 100 6
D750_3_25 rep001 trilnormcave 10 5
D750_3_25 rep001 trilnormcave 148 6
D750_3_25 rep001 trilnormcave 1 1
D750_3_25 rep001 trilnormcave 25 7
D750_3_25 rep001 trilnormcave 2 2
D750_3_25 rep001 trilnormcave 3 3
D750_3_25 rep001 trilnormcave 50 8
D750_3_25 rep001 trilnormcave 5 4
D750_3_25 rep001 trilnorm 100 9
D750_3_25 rep001 trilnorm 10 5
D750_3_25 rep001 trilnorm 148 7
D750_3_25 rep001 trilnorm 1 1
D750_3_25 rep001 trilnorm 25 6
D750_3_25 rep001 trilnorm 2 2
D750_3_25 rep001 trilnorm 3 3
D750_3_25 rep001 trilnorm 50 6
D750_3_25 rep001 trilnorm 5 4
D750_3_25 rep001 trilnormvex 100 6
D750_3_25 rep001 trilnormvex 10 6
D750_3_25 rep001 trilnormvex 148 6
D750_3_25 rep001 trilnormvex 1 1
D750_3_25 rep001 trilnormvex 25 5
D750_3_25 rep001 trilnormvex 2 2
D750_3_25 rep001 trilnormvex 3 3
D750_3_25 rep001 trilnormvex 50 5
D750_3_25 rep001 trilnormvex 5 4
D750_3_25 rep001 trilnormvex 75 5
D750_3_25 rep002 trilnormcave 100 7
D750_3_25 rep002 trilnormcave 10 4
D750_3_25 rep002 trilnormcave 148 6
D750_3_25 rep002 trilnormcave 1 1
D750_3_25 rep002 trilnormcave 25 5
D750_3_25 rep002 trilnormcave 2 2
D750_3_25 rep002 trilnormcave 3 3
D750_3_25 rep002 trilnormcave 50 6
D750_3_25 rep002 trilnormcave 5 3
D750_3_25 rep002 trilnorm 100 8
D750_3_25 rep002 trilnorm 10 6
D750_3_25 rep002 trilnorm 148 8
D750_3_25 rep002 trilnorm 1 1
D750_3_25 rep002 trilnorm 25 7
D750_3_25 rep002 trilnorm 2 2
D750_3_25 rep002 trilnorm 3 3
D750_3_25 rep002 trilnorm 50 6
D750_3_25 rep002 trilnorm 5 4
D750_3_25 rep002 trilnormvex 100 8
D750_3_25 rep002 trilnormvex 10 6
D750_3_25 rep002 trilnormvex 148 7
D750_3_25 rep002 trilnormvex 1 1
D750_3_25 rep002 trilnormvex 25 7
D750_3_25 rep002 trilnormvex 2 2
D750_3_25 rep002 trilnormvex 3 3
D750_3_25 rep002 trilnormvex 50 8
D750_3_25 rep002 trilnormvex 5 5
D750_3_25 rep002 trilnormvex 75 6
D750_3_25 rep003 trilnormcave 100 6
D750_3_25 rep003 trilnormcave 10 5
D750_3_25 rep003 trilnormcave 148 6
D750_3_25 rep003 trilnormcave 1 1
D750_3_25 rep003 trilnormcave 25 5
D750_3_25 rep003 trilnormcave 2 2
D750_3_25 rep003 trilnormcave 3 3
D750_3_25 rep003 trilnormcave 50 5
D750_3_25 rep003 trilnormcave 5 4
D750_3_25 rep003 trilnorm 100 9
D750_3_25 rep003 trilnorm 10 5
D750_3_25 rep003 trilnorm 148 8
D750_3_25 rep003 trilnorm 1 1
D750_3_25 rep003 trilnorm 25 6
D750_3_25 rep003 trilnorm 2 2
D750_3_25 rep003 trilnorm 3 3
D750_3_25 rep003 trilnorm 50 8
D750_3_25 rep003 trilnorm 5 5
D750_3_25 rep003 trilnormvex 100 6
D750_3_25 rep003 trilnormvex 10 5
D750_3_25 rep003 trilnormvex 148 7
D750_3_25 rep003 trilnormvex 1 1
D750_3_25 rep003 trilnormvex 25 6
D750_3_25 rep003 trilnormvex 2 2
D750_3_25 rep003 trilnormvex 3 3
D750_3_25 rep003 trilnormvex 50 6
