treeModel rep clockModel nodeID trueAge estAge p0025 p0975
D750_11_10 rep001 trilnorm I79 8.71122 7.1356 7.2845 11.3657
D750_11_10 rep001 trilnorm I8 18.1148 17.2965 16.8869 19.3646
D750_11_10 rep001 trilnorm I80 1.56461 -0.0755 -7.5059 2.1754
D750_11_10 rep001 trilnorm I81 4.62391 0.0802 -7.5049 2.2828
D750_11_10 rep001 trilnorm I82 4.9653 1.7029 -2.8277 7.4538
D750_11_10 rep001 trilnorm I83 2.09417 0.2687 -4.035 3.5258
D750_11_10 rep001 trilnorm I84 2.78592 0.4117 -2.3629 3.5693
D750_11_10 rep001 trilnorm I85 5.31468 3.6042 1.6765 6.7723
D750_11_10 rep001 trilnorm I86 5.36165 3.9873 2.8529 8.9275
D750_11_10 rep001 trilnorm I87 10.195 11.0715 8.9773 13.3657
D750_11_10 rep001 trilnorm I88 7.47227 5.7468 2.4206 7.8211
D750_11_10 rep001 trilnorm I89 8.23342 5.8683 2.4216 7.824
D750_11_10 rep001 trilnorm I9 19.1523 19.2517 19.2427 19.3657
D750_11_10 rep001 trilnorm I90 13.7713 16.0049 9.9241 16.3159
D750_11_10 rep001 trilnorm I91 7.62952 6.4113 4.7485 9.3656
D750_11_10 rep001 trilnorm I92 4.41725 2.3217 1.6149 7.1239
D750_11_10 rep001 trilnorm I93 4.54476 2.4359 2.0663 7.7831
D750_11_10 rep001 trilnorm I94 5.26613 3.1879 2.256 7.905
D750_11_10 rep001 trilnorm I95 6.27335 4.1165 2.257 8.0087
D750_11_10 rep001 trilnorm I96 7.14933 4.8902 7.2531 14.5244
D750_11_10 rep001 trilnorm I97 4.73506 5.2305 3.6036 7.9482
D750_11_10 rep001 trilnorm I98 6.19766 6.3407 4.6405 9.3647
D750_11_10 rep001 trilnorm I99 6.21055 6.4271 4.6466 9.3657
D750_11_10 rep001 trilnormvex I1 0 2.2996 -6.3364 3.8947
D750_11_10 rep001 trilnormvex I10 20.2397 22.9685 18.9624 22.8815
D750_11_10 rep001 trilnormvex I100 5.02486 5.5434 4.19 10.2631
D750_11_10 rep001 trilnormvex I101 8.8079 7.9733 4.4216 11.1719
D750_11_10 rep001 trilnormvex I102 16.2678 15.7235 14.5196 17.3657
D750_11_10 rep001 trilnormvex I103 21.7713 22.165 14.9351 22.1881
D750_11_10 rep001 trilnormvex I104 11.959 13.1284 7.0614 13.3657
D750_11_10 rep001 trilnormvex I105 7.44523 10.4917 7.3624 11.3647
D750_11_10 rep001 trilnormvex I106 8.98942 11.1103 9.8177 11.3657
D750_11_10 rep001 trilnormvex I107 3.25183 4.7574 1.4227 9.364
D750_11_10 rep001 trilnormvex I108 5.8142 5.5227 3.7392 9.3657
D750_11_10 rep001 trilnormvex I109 15.7449 15.8133 9.926 19.4872
D750_11_10 rep001 trilnormvex I11 25.9967 25.7501 23.6872 25.9753
D750_11_10 rep001 trilnormvex I12 5.42936 6.9363 2.099 8.1673
D750_11_10 rep001 trilnormvex I13 2.91722 5.1273 -1.5534 7.814
D750_11_10 rep001 trilnormvex I14 3.03758 5.2488 1.7112 8.2289
D750_11_10 rep001 trilnormvex I15 3.14867 5.4908 2.9674 8.4575
D750_11_10 rep001 trilnormvex I16 4.99539 8.3111 5.0961 10.282
D750_11_10 rep001 trilnormvex I17 6.63084 8.6726 5.7334 10.3431
D750_11_10 rep001 trilnormvex I18 11.5906 12.0895 7.1705 12.6362
D750_11_10 rep001 trilnormvex I19 11.8058 12.375 9.8765 13.3647
D750_11_10 rep001 trilnormvex I2 2.48103 4.9516 -1.7401 6.757
D750_11_10 rep001 trilnormvex I20 16.0263 12.9288 10.6367 18.5038
D750_11_10 rep001 trilnormvex I21 12.3864 12.8426 12.1232 13.3657
D750_11_10 rep001 trilnormvex I22 5.84759 8.6544 6.1417 11.3637
D750_11_10 rep001 trilnormvex I23 5.97395 8.8097 6.5103 11.3647
D750_11_10 rep001 trilnormvex I24 6.07611 8.8953 7.9065 11.3657
D750_11_10 rep001 trilnormvex I25 7.79723 9.5986 8.8479 15.3657
D750_11_10 rep001 trilnormvex I26 3.52334 5.6101 3.0853 8.5617
D750_11_10 rep001 trilnormvex I27 5.92785 6.86 5.6042 9.3657
D750_11_10 rep001 trilnormvex I28 6.97124 7.5326 6.8015 11.3647
D750_11_10 rep001 trilnormvex I29 7.59055 8.9848 8.1666 11.3657
