scenario rep k nodeName trueNodeAge estNodeAge
scenario1 rep006 3 I24 31.6844 -27.2353
scenario1 rep006 3 I25 33.9221 -8.8924
scenario1 rep006 3 I26 37.7111 -6.8899
scenario1 rep006 3 I27 39.3061 13.8243
scenario1 rep006 3 I28 49.2904 24.3106
scenario1 rep006 3 I29 54.541 35.6522
scenario1 rep006 3 I3 53.1728 33.3243
scenario1 rep006 3 I30 8.64398 -25.3778
scenario1 rep006 3 I31 18.7662 27.8062
scenario1 rep006 3 I32 20.3792 56.8681
scenario1 rep006 3 I33 39.6276 74.3888
scenario1 rep006 3 I34 15.3699 13.5693
scenario1 rep006 3 I35 16.5318 14.1191
scenario1 rep006 3 I36 17.1885 13.8983
scenario1 rep006 3 I37 18.0794 14.0498
scenario1 rep006 3 I38 24.2807 15.7438
scenario1 rep006 3 I39 25.3912 17.1643
scenario1 rep006 3 I4 4.29313 -28.1747
scenario1 rep006 3 I40 26.2688 37.8832
scenario1 rep006 3 I41 27.3794 39.6276
scenario1 rep006 3 I42 33.9127 42.234
scenario1 rep006 3 I43 41.7203 47.1265
scenario1 rep006 3 I44 43.2265 48.2247
scenario1 rep006 3 I45 48.2767 61.1101
scenario1 rep006 3 I46 56.6923 62.8998
scenario1 rep006 3 I47 76.9586 111.8687
scenario1 rep006 3 I48 79.3105 112.6032
scenario1 rep006 3 I49 52.3546 61.6184
scenario1 rep006 3 I5 9.33696 1.2547
scenario1 rep006 3 I50 58.469 62.9818
scenario1 rep006 3 I51 83.0134 70.6763
scenario1 rep006 3 I52 83.4521 71.5109
scenario1 rep006 3 I53 83.7694 72.0058
scenario1 rep006 3 I54 87.5096 73.7008
scenario1 rep006 3 I55 26.0402 17.6963
scenario1 rep006 3 I56 26.8496 18.3629
scenario1 rep006 3 I57 28.4881 25.591
scenario1 rep006 3 I58 45.7523 26.7641
scenario1 rep006 3 I59 89.2963 94.1707
scenario1 rep006 3 I6 33.1967 85.8494
scenario1 rep006 3 I60 31.2313 40.7513
scenario1 rep006 3 I61 31.807 46.4841
scenario1 rep006 3 I62 34.9944 49.179
scenario1 rep006 3 I63 32.6694 55.7216
scenario1 rep006 3 I64 33.8687 63.9983
scenario1 rep006 3 I65 41.6289 64.5225
scenario1 rep006 3 I66 44.4088 65.069
scenario1 rep006 3 I67 55.5269 66.7679
scenario1 rep006 3 I68 33.642 42.1597
scenario1 rep006 3 I69 33.6432 42.6161
scenario1 rep006 3 I7 6.9627 -27.5893
scenario1 rep006 3 I70 39.5374 43.0955
scenario1 rep006 3 I71 41.25 45.5234
scenario1 rep006 3 I72 35.6755 43.6808
scenario1 rep006 3 I73 36.3187 43.9969
scenario1 rep006 3 I74 37.3101 44.3714
scenario1 rep006 3 I8 7.23236 -17.2994
scenario1 rep006 3 I9 16.9771 -16.4013
scenario1 rep007 3 I0 0 0.9491
scenario1 rep007 3 I1 1.89772 1.2935
scenario1 rep007 3 I10 24.4452 101.7024
scenario1 rep007 3 I11 8.33087 6.5154
scenario1 rep007 3 I12 52.2788 37.3703
scenario1 rep007 3 I13 8.5159 7.1653
scenario1 rep007 3 I14 36.5605 33.5324
scenario1 rep007 3 I15 9.61193 7.6095
scenario1 rep007 3 I16 18.552 99.693
scenario1 rep007 3 I17 64.4724 124.5764
scenario1 rep007 3 I18 7.12688 6.1988
scenario1 rep007 3 I19 12.9639 7.6693
scenario1 rep007 3 I2 45.1116 34.0209
scenario1 rep007 3 I20 16.3031 22.7009
scenario1 rep007 3 I21 24.8599 45.0294
scenario1 rep007 3 I22 30.0471 45.318
scenario1 rep007 3 I23 32.4873 51.8108
scenario1 rep007 3 I24 31.6844 47.2228
scenario1 rep007 3 I25 33.9221 47.2238
scenario1 rep007 3 I26 37.7111 50.1801
scenario1 rep007 3 I27 39.3061 51.7025
scenario1 rep007 3 I28 49.2904 76.0353
scenario1 rep007 3 I29 54.541 58.3705
scenario1 rep007 3 I3 53.1728 39.1988
scenario1 rep007 3 I30 8.64398 13.226
scenario1 rep007 3 I31 18.7662 14.6578
scenario1 rep007 3 I32 20.3792 18.2204
scenario1 rep007 3 I33 39.6276 88.9184
scenario1 rep007 3 I34 15.3699 13.8765
