clockModel rep method brName estLength trueLength
scenario1 rep001 BEAST_lognorm Cornales 6.4848 10.9797
scenario1 rep001 BEAST_lognorm Cornus 87.495 87.2999
scenario1 rep001 BEAST_lognorm Crossosoma 96.3295 107.331
scenario1 rep001 BEAST_lognorm Cucumis 98.2529 102.69
scenario1 rep001 BEAST_lognorm Daucus 23.5896 56.2306
scenario1 rep001 BEAST_lognorm Dillenia 112.3535 113.96
scenario1 rep001 BEAST_lognorm Dioscorea 97.2873 107.513
scenario1 rep001 BEAST_lognorm Drimys 126.4873 126.5
scenario1 rep001 BEAST_lognorm Eichhornia 71.4709 90.7097
scenario1 rep001 BEAST_lognorm Endressinia 29.4986 16.1691
scenario1 rep001 BEAST_lognorm Enkianthus 86.6152 96.7737
scenario1 rep001 BEAST_lognorm Escallonia 31.4804 56.9866
scenario1 rep001 BEAST_lognorm Eucalyptus 87.4916 87.3
scenario1 rep001 BEAST_lognorm Eupomatia 115.5052 115.5
scenario1 rep001 BEAST_lognorm Euptelea 103.6643 121.234
scenario1 rep001 BEAST_lognorm Fagales 3.2734 7.58994
scenario1 rep001 BEAST_lognorm Fagus 94.9796 95.0999
scenario1 rep001 BEAST_lognorm Gossypium 43.2525 84.4734
scenario1 rep001 BEAST_lognorm Grubbia 87.495 87.3
scenario1 rep001 BEAST_lognorm Gunnera 116.2212 115.719
scenario1 rep001 BEAST_lognorm Hedycarya 101.492 101.1
scenario1 rep001 BEAST_lognorm Hedyosmum 107.8586 123.023
scenario1 rep001 BEAST_lognorm Helianthus 51.8387 81.531
scenario1 rep001 BEAST_lognorm Helwingia 66.4953 66.5
scenario1 rep001 BEAST_lognorm I1 12.7246 1.89771
scenario1 rep001 BEAST_lognorm I10 24.114 7.46815
scenario1 rep001 BEAST_lognorm I11 6.1361 1.09851
scenario1 rep001 BEAST_lognorm I12 29.022 27.779
scenario1 rep001 BEAST_lognorm I13 4.9487 0.185028
scenario1 rep001 BEAST_lognorm I14 4.1964 3.86045
scenario1 rep001 BEAST_lognorm I15 4.5466 1.09603
scenario1 rep001 BEAST_lognorm I16 36.5279 8.94009
scenario1 rep001 BEAST_lognorm I17 38.9246 45.9205
scenario1 rep001 BEAST_lognorm I18 4.1655 0.164182
scenario1 rep001 BEAST_lognorm I19 4.6292 5.83703
scenario1 rep001 BEAST_lognorm I2 31.636 31.6116
scenario1 rep001 BEAST_lognorm I20 8.0474 3.33915
scenario1 rep001 BEAST_lognorm I21 12.8928 8.5569
scenario1 rep001 BEAST_lognorm I22 3.9304 5.18713
scenario1 rep001 BEAST_lognorm I23 27.2599 2.44022
scenario1 rep001 BEAST_lognorm I24 5.395 1.63732
scenario1 rep001 BEAST_lognorm I25 8.8724 2.23768
scenario1 rep001 BEAST_lognorm I26 4.9237 3.78906
scenario1 rep001 BEAST_lognorm I27 4.3782 1.59502
scenario1 rep001 BEAST_lognorm I28 29.5071 9.98418
scenario1 rep001 BEAST_lognorm I29 17.2464 15.2348
scenario1 rep001 BEAST_lognorm I3 24.9298 8.06111
scenario1 rep001 BEAST_lognorm I30 8.8068 1.5171
scenario1 rep001 BEAST_lognorm I31 22.866 5.26619
scenario1 rep001 BEAST_lognorm I32 8.9329 1.61306
scenario1 rep001 BEAST_lognorm I33 43.6925 19.2484
scenario1 rep001 BEAST_lognorm I34 1.3249 1.86989
scenario1 rep001 BEAST_lognorm I35 6.3445 1.16187
scenario1 rep001 BEAST_lognorm I36 3.7041 1.81861
scenario1 rep001 BEAST_lognorm I37 1.4909 0.890909
scenario1 rep001 BEAST_lognorm I38 3.7892 6.20129
scenario1 rep001 BEAST_lognorm I39 1.3851 1.1105
scenario1 rep001 BEAST_lognorm I4 11.0589 2.39542
scenario1 rep001 BEAST_lognorm I40 2.1495 0.877635
scenario1 rep001 BEAST_lognorm I41 4.7523 1.11055
scenario1 rep001 BEAST_lognorm I42 5.8185 6.5333
scenario1 rep001 BEAST_lognorm I43 8.136 7.8076
scenario1 rep001 BEAST_lognorm I44 7.3646 1.50626
scenario1 rep001 BEAST_lognorm I45 8.0599 5.05022
