scenario rep method norm_rmse
scenario2 rep001 MD-Cat 0.112774
scenario2 rep001 wLogDate 0.256382
scenario2 rep001 Blnorm 0.141617
scenario2 rep002 RelTime 0.0970886
scenario2 rep002 MD-Cat 0.168775
scenario2 rep002 wLogDate 0.693869
scenario2 rep002 Blnorm 0.220471
scenario2 rep003 RelTime 0.102419
scenario2 rep003 MD-Cat 0.102723
scenario2 rep003 wLogDate 1.08576
scenario2 rep003 Blnorm 0.209633
scenario2 rep004 RelTime 0.139364
scenario2 rep004 MD-Cat 0.160395
scenario2 rep004 wLogDate 0.417632
scenario2 rep004 Blnorm 0.23041
scenario2 rep005 RelTime 0.124096
scenario2 rep005 MD-Cat 0.136571
scenario2 rep005 wLogDate 0.515859
scenario2 rep005 Blnorm 0.190594
scenario2 rep006 RelTime 0.122645
scenario2 rep006 MD-Cat 0.169632
scenario2 rep006 wLogDate 0.311144
scenario2 rep006 Blnorm 0.214609
scenario2 rep007 RelTime 0.126627
scenario2 rep007 MD-Cat 0.147334
scenario2 rep007 wLogDate 0.479417
scenario2 rep007 Blnorm 0.316863
scenario2 rep008 RelTime 0.118673
scenario2 rep008 MD-Cat 0.162501
scenario2 rep008 wLogDate 0.513536
scenario2 rep008 Blnorm 0.17484
scenario2 rep009 RelTime 0.115361
scenario2 rep009 MD-Cat 0.117846
scenario2 rep009 wLogDate 0.617723
scenario2 rep009 Blnorm 0.172562
scenario2 rep010 RelTime 0.116756
scenario2 rep010 MD-Cat 0.120046
scenario2 rep010 wLogDate 0.216919
scenario2 rep010 Blnorm 0.178279
scenario2 rep011 RelTime 0.0981921
scenario2 rep011 MD-Cat 0.112411
scenario2 rep011 wLogDate 0.53209
scenario2 rep011 Blnorm 0.244559
scenario2 rep012 RelTime 0.114118
scenario2 rep012 MD-Cat 0.100231
scenario2 rep012 wLogDate 0.315052
scenario2 rep012 Blnorm 0.277954
scenario2 rep013 RelTime 0.098975
scenario2 rep013 MD-Cat 0.101511
scenario2 rep013 wLogDate 0.719657
scenario2 rep013 Blnorm 0.200976
scenario2 rep014 RelTime 0.118646
scenario2 rep014 MD-Cat 0.170418
scenario2 rep014 wLogDate 0.643358
scenario2 rep014 Blnorm 0.190833
scenario2 rep015 RelTime 0.134034
scenario2 rep015 MD-Cat 0.13228
scenario2 rep015 wLogDate 0.239394
scenario2 rep015 Blnorm 0.159016
scenario2 rep016 RelTime 0.116384
scenario2 rep016 MD-Cat 0.161274
scenario2 rep016 wLogDate 0.341739
scenario2 rep016 Blnorm 0.212847
scenario2 rep017 RelTime 0.127521
scenario2 rep017 MD-Cat 0.182519
scenario2 rep017 wLogDate 0.406071
scenario2 rep017 Blnorm 0.182476
scenario2 rep018 RelTime 0.104789
scenario2 rep018 MD-Cat 0.0823636
scenario2 rep018 wLogDate 0.446649
scenario2 rep018 Blnorm 0.176186
scenario2 rep019 RelTime 0.112891
scenario2 rep019 MD-Cat 0.112966
scenario2 rep019 wLogDate 0.257461
scenario2 rep019 Blnorm 0.208236
scenario2 rep020 RelTime 0.114291
scenario2 rep020 MD-Cat 0.176606
scenario2 rep020 wLogDate 0.692467
scenario2 rep020 Blnorm 0.209187
scenario2 rep021 RelTime 0.0859207
scenario2 rep021 MD-Cat 0.120689
scenario2 rep021 wLogDate 0.363453
scenario2 rep021 Blnorm 0.214504
scenario2 rep022 RelTime 0.107601
scenario2 rep022 MD-Cat 0.126285
scenario2 rep022 wLogDate 0.527692
scenario2 rep022 Blnorm 0.145698
scenario2 rep023 RelTime 0.0979864
scenario2 rep023 MD-Cat 0.138191
scenario2 rep023 wLogDate 0.283371
scenario2 rep023 Blnorm 0.206223
scenario2 rep024 RelTime 0.134892
scenario2 rep024 MD-Cat 0.0981171
scenario2 rep024 wLogDate 0.268627
scenario2 rep024 Blnorm 0.185369
scenario2 rep025 RelTime 0.124056
scenario2 rep025 MD-Cat 0.121149
scenario2 rep025 wLogDate 0.310581
scenario2 rep025 Blnorm 0.214516
scenario2 rep026 RelTime 0.105171
scenario2 rep026 MD-Cat 0.124444
scenario2 rep026 wLogDate 0.282906
scenario2 rep026 Blnorm 0.142244
scenario2 rep027 RelTime 0.107469
scenario2 rep027 MD-Cat 0.165828
scenario2 rep027 wLogDate 0.481563
scenario2 rep027 Blnorm 0.188809
scenario2 rep028 RelTime 0.129172
scenario2 rep028 MD-Cat 0.166579
scenario2 rep028 wLogDate 0.275877
scenario2 rep028 Blnorm 0.251692
scenario2 rep029 RelTime 0.110882
scenario2 rep029 MD-Cat 0.118183
scenario2 rep029 wLogDate 0.427928
scenario2 rep029 Blnorm 0.292546
scenario2 rep030 RelTime 0.129099
scenario2 rep030 MD-Cat 0.127195
scenario2 rep030 wLogDate 0.334791
scenario2 rep030 Blnorm 0.15646
scenario2 rep031 RelTime 0.133776
scenario2 rep031 MD-Cat 0.124279
scenario2 rep031 wLogDate 0.330909
scenario2 rep031 Blnorm 0.213988
scenario2 rep032 RelTime 0.0997764
scenario2 rep032 MD-Cat 0.109121
scenario2 rep032 wLogDate 0.487254
scenario2 rep032 Blnorm 0.177009
scenario2 rep033 RelTime 0.126311
scenario2 rep033 MD-Cat 0.167464
scenario2 rep033 wLogDate 0.380806
scenario2 rep033 Blnorm 0.232919
scenario2 rep034 RelTime 0.103004
scenario2 rep034 MD-Cat 0.135731
scenario2 rep034 wLogDate 0.558977
scenario2 rep034 Blnorm 0.191689
scenario2 rep035 RelTime 0.107796
scenario2 rep035 MD-Cat 0.185161
scenario2 rep035 wLogDate 1.24682
scenario2 rep035 Blnorm 0.253851
scenario2 rep036 RelTime 0.120282
scenario2 rep036 MD-Cat 0.125836
scenario2 rep036 wLogDate 0.281301
scenario2 rep036 Blnorm 0.157869
scenario2 rep037 RelTime 0.100835
scenario2 rep037 MD-Cat 0.162549
scenario2 rep037 wLogDate 1.00588
scenario2 rep037 Blnorm 0.210697
scenario2 rep038 RelTime 0.113079
scenario2 rep038 MD-Cat 0.17173
scenario2 rep038 wLogDate 0.191591
