scenario method rep error
scenario2 MD-Cat rep097 1.0360358817677742
scenario2 wLogDate rep098 2.034826587085916
scenario2 MD-Cat rep098 0.9459104259568314
scenario2 wLogDate rep099 2.2703029254027385
scenario2 MD-Cat rep099 0.8295707257771207
scenario2 wLogDate rep100 2.0554206792648033
scenario2 MD-Cat rep100 0.7772990440661343
scenario3 wLogDate rep001 1.8751503588330614
scenario3 MD-Cat rep001 0.8070531547261298
scenario3 wLogDate rep002 1.1354455709771822
scenario3 MD-Cat rep002 0.7920845529328011
scenario3 wLogDate rep003 1.014186753399401
scenario3 MD-Cat rep003 0.7502101278610165
scenario3 wLogDate rep004 1.5761351906473378
scenario3 MD-Cat rep004 0.6183028762036871
scenario3 wLogDate rep005 0.8790681346502717
scenario3 MD-Cat rep005 0.8555879834974063
scenario3 wLogDate rep006 1.7030075237515954
scenario3 MD-Cat rep006 0.7522276981380642
scenario3 wLogDate rep007 1.9927255711043448
scenario3 MD-Cat rep007 0.8433066640415288
scenario3 wLogDate rep008 1.126584070810214
scenario3 MD-Cat rep008 0.7601070266328801
scenario3 wLogDate rep009 1.6031844733192058
scenario3 MD-Cat rep009 0.703101964561558
scenario3 wLogDate rep010 2.0229309966005093
scenario3 MD-Cat rep010 0.8194137607043737
scenario3 wLogDate rep011 1.2147922485858833
scenario3 MD-Cat rep011 0.9226171913176068
scenario3 wLogDate rep012 2.3068630731532007
scenario3 MD-Cat rep012 0.8329268727282303
scenario3 wLogDate rep013 1.3912377687556736
scenario3 MD-Cat rep013 0.7413350213191471
scenario3 wLogDate rep014 1.1975014030765583
scenario3 MD-Cat rep014 0.6873149456148034
scenario3 wLogDate rep015 1.727822968213525
scenario3 MD-Cat rep015 0.8083874710682719
scenario3 wLogDate rep016 2.088996961658854
scenario3 MD-Cat rep016 0.8019468327314576
scenario3 wLogDate rep017 1.0004546281960727
scenario3 MD-Cat rep017 0.6662333158862356
scenario3 wLogDate rep018 1.7524940470912638
scenario3 MD-Cat rep018 0.9003519210355145
scenario3 wLogDate rep019 1.6444656220866107
scenario3 MD-Cat rep019 0.6064634692999507
scenario3 wLogDate rep020 1.378751361548437
scenario3 MD-Cat rep020 0.7536165582315638
scenario3 wLogDate rep021 1.8556976396301161
scenario3 MD-Cat rep021 0.8125637961841699
scenario3 wLogDate rep022 2.010362115587733
scenario3 MD-Cat rep022 0.7900835873375498
scenario3 wLogDate rep023 1.38057567054436
scenario3 MD-Cat rep023 0.6664360736844546
scenario3 wLogDate rep024 0.7087552877366504
scenario3 MD-Cat rep024 0.6604820478886818
scenario3 wLogDate rep025 1.5659307625489538
scenario3 MD-Cat rep025 0.7309118373631873
scenario3 wLogDate rep026 1.4888420856923108
scenario3 MD-Cat rep026 0.7981647808997105
scenario3 wLogDate rep027 1.819838524548269
scenario3 MD-Cat rep027 0.9267269780830081
scenario3 wLogDate rep028 1.0295002596897993
scenario3 MD-Cat rep028 0.7303319338893279
scenario3 wLogDate rep029 1.480387139722926
scenario3 MD-Cat rep029 0.7519698151384341
scenario3 wLogDate rep030 1.594200629165891
scenario3 MD-Cat rep030 0.8068605576754057
scenario3 wLogDate rep031 1.4392038893359782
scenario3 MD-Cat rep031 0.8200019725162058
scenario3 wLogDate rep032 1.4292820905738493
scenario3 MD-Cat rep032 0.8681789326889884
scenario3 wLogDate rep033 1.8249353587259385
scenario3 MD-Cat rep033 0.8553888351946008
scenario3 wLogDate rep034 0.8224710482654823
scenario3 MD-Cat rep034 0.8477978615137924
scenario3 wLogDate rep035 1.003997165772709
scenario3 MD-Cat rep035 0.7140923502298462
scenario3 wLogDate rep036 1.5033424303694038
scenario3 MD-Cat rep036 0.603015520418555
scenario3 wLogDate rep037 1.417575846613525
scenario3 MD-Cat rep037 0.7549980952000106
scenario3 wLogDate rep038 1.1644736177211616
scenario3 MD-Cat rep038 0.8522276485181528
scenario3 wLogDate rep039 1.4520311687146084
scenario3 MD-Cat rep039 0.758578965167016
scenario3 wLogDate rep040 1.611332730044764
scenario3 MD-Cat rep040 0.6717056673892445
scenario3 wLogDate rep041 2.36724218415339
scenario3 MD-Cat rep041 0.809557612983526
scenario3 wLogDate rep042 1.1695352344188112
scenario3 MD-Cat rep042 0.7500152195095479
scenario3 wLogDate rep043 1.7124434231527048
scenario3 MD-Cat rep043 0.8162587590002884
scenario3 wLogDate rep044 1.0609210949110675
scenario3 MD-Cat rep044 0.6535938375308226
scenario3 wLogDate rep045 0.8534619397229881
scenario3 MD-Cat rep045 0.6577255705231196
scenario3 wLogDate rep046 2.3765277070581408
scenario3 MD-Cat rep046 0.8285615757486774
scenario3 wLogDate rep047 1.096888918560681
scenario3 MD-Cat rep047 0.688498350365954
scenario3 wLogDate rep048 1.5939428878418713
scenario3 MD-Cat rep048 0.8893722010267945
scenario3 wLogDate rep049 1.307638679397428
scenario3 MD-Cat rep049 0.7289547430563116
scenario3 wLogDate rep050 0.7055901774582982
scenario3 MD-Cat rep050 0.7280617100093378
scenario3 wLogDate rep051 2.420246410206428
scenario3 MD-Cat rep051 0.6864359005486903
scenario3 wLogDate rep052 1.4922675749410839
scenario3 MD-Cat rep052 0.7617804738185558
scenario3 wLogDate rep053 2.0403413781859414
scenario3 MD-Cat rep053 0.7166620884805679
scenario3 wLogDate rep054 1.9686835984260875
scenario3 MD-Cat rep054 0.7213801000793986
scenario3 wLogDate rep055 1.4775937265059873
scenario3 MD-Cat rep055 0.8362501394751785
scenario3 wLogDate rep056 0.8421850499311485
scenario3 MD-Cat rep056 0.718766576293395
scenario3 wLogDate rep057 1.2499863245964786
scenario3 MD-Cat rep057 0.8082557377623965
scenario3 wLogDate rep058 1.0927311541037295
scenario3 MD-Cat rep058 0.7194997717586387
