clockModel rep method tmrca
scenario1 rep039 wlogdate -38.345809621068895
scenario1 rep040 wlogdate -19.1702547380674
scenario1 rep041 wlogdate -5.49308612934459
scenario1 rep042 wlogdate -6.4683222524082
scenario1 rep043 wlogdate -2.1976924016129544
scenario1 rep044 wlogdate 7.7901835562240365
scenario1 rep045 wlogdate -221.06943074384333
scenario1 rep046 wlogdate 6.920884380713858
scenario1 rep047 wlogdate 3.6068968470938216
scenario1 rep048 wlogdate -74.32548342022434
scenario1 rep049 wlogdate -13.598217683658078
scenario1 rep050 wlogdate -6.445553748249978
scenario1 rep051 wlogdate -19.58362495595088
scenario1 rep052 wlogdate -2.4439254710370335
scenario1 rep053 wlogdate -0.5220440418076748
scenario1 rep054 wlogdate -16.08837046450131
scenario1 rep055 wlogdate -349.31677032628966
scenario1 rep056 wlogdate 1.1434177491941568
scenario1 rep057 wlogdate -14.567089018664376
scenario1 rep058 wlogdate -134.36594931341205
scenario1 rep059 wlogdate -29.360426115256814
scenario1 rep060 wlogdate -48.313000054224005
scenario1 rep061 wlogdate -48.27899779641541
scenario1 rep062 wlogdate -26.670433406103655
scenario1 rep063 wlogdate -25.540503178577183
scenario1 rep064 wlogdate 1.420122558318127
scenario1 rep065 wlogdate -0.9382173775023546
scenario1 rep066 wlogdate -0.3519410432021175
scenario1 rep067 wlogdate -47.62619612353106
scenario1 rep068 wlogdate -14.877830837902138
scenario1 rep069 wlogdate -0.9514110393846238
scenario1 rep070 wlogdate -90.54652216151581
scenario1 rep071 wlogdate -23.00693604540683
scenario1 rep072 wlogdate -84.56269238639538
scenario1 rep073 wlogdate -191.4282518522005
scenario1 rep074 wlogdate 5.173286862633574
scenario1 rep075 wlogdate -12.357892048604356
scenario1 rep076 wlogdate -65.82361515973545
scenario1 rep077 wlogdate -11.257783406641693
scenario1 rep078 wlogdate -264.54225404478404
scenario1 rep079 wlogdate 1.7722143830594348
scenario1 rep080 wlogdate -22.95180682424305
scenario1 rep081 wlogdate -10.720389181552434
scenario1 rep082 wlogdate -28.807225711248947
scenario1 rep083 wlogdate -54.53857262453508
scenario1 rep084 wlogdate 2.977753783846225
scenario1 rep085 wlogdate -6.775927945356443
scenario1 rep086 wlogdate -45.967014280907364
scenario1 rep087 wlogdate -13.140268905597878
scenario1 rep088 wlogdate -5.594210280762695
scenario1 rep089 wlogdate -9.239579520913026
scenario1 rep090 wlogdate -6.372127983643793
scenario1 rep091 wlogdate -75.59009324690865
scenario1 rep092 wlogdate -6.591876910251045
scenario1 rep093 wlogdate -1.5209496088153855
scenario1 rep094 wlogdate -5.233038326662324
scenario1 rep095 wlogdate -76.67278695999599
scenario1 rep096 wlogdate 4.949095360548739
scenario1 rep097 wlogdate -0.6806722183798399
scenario1 rep098 wlogdate -0.8059877373887616
scenario1 rep099 wlogdate -48.679055316933756
scenario1 rep100 wlogdate -4.375763021497022
scenario2 rep001 wlogdate -71.99619023347603
scenario2 rep002 wlogdate -223.72429085640823
scenario2 rep003 wlogdate -295.8876531384803
scenario2 rep004 wlogdate -95.30044152164353
scenario2 rep005 wlogdate -153.10893405419142
scenario2 rep006 wlogdate -71.51145151457689
scenario2 rep007 wlogdate -145.749007124677
scenario2 rep008 wlogdate -145.05156862717217
scenario2 rep009 wlogdate -172.70521850933898
scenario2 rep010 wlogdate -16.963801486519287
scenario2 rep011 wlogdate -132.77061202349938
scenario2 rep012 wlogdate -88.09633883214937
scenario2 rep013 wlogdate -200.26689614881496
scenario2 rep014 wlogdate -164.4074485842106
scenario2 rep015 wlogdate 5.944462965625036
scenario2 rep016 wlogdate -70.42376021740517
scenario2 rep017 wlogdate -120.05149280618849
scenario2 rep018 wlogdate -134.06531344457255
scenario2 rep019 wlogdate 3.1754153568683137
scenario2 rep020 wlogdate -208.15070840612094
scenario2 rep021 wlogdate -95.97682084916084
scenario2 rep022 wlogdate -160.6414225303107
scenario2 rep023 wlogdate -11.048778774745955
scenario2 rep024 wlogdate -26.9091433446782
scenario2 rep025 wlogdate -8.80601769985455
scenario2 rep026 wlogdate -60.82364245129776
scenario2 rep027 wlogdate -123.3161206960304
scenario2 rep028 wlogdate 0.8564010539843139
scenario2 rep029 wlogdate -109.02644377269857
scenario2 rep030 wlogdate -77.43490007906709
scenario2 rep031 wlogdate -88.84737683598644
scenario2 rep032 wlogdate -120.41254364028981
scenario2 rep033 wlogdate -109.25607134124127
scenario2 rep034 wlogdate -194.4758410271299
scenario2 rep035 wlogdate -581.8316604907931
scenario2 rep036 wlogdate -70.53813865102705
scenario2 rep037 wlogdate -275.6082377334557
scenario2 rep038 wlogdate -37.377512875412435
scenario2 rep039 wlogdate -254.48071272688424
scenario2 rep040 wlogdate -114.66480893599282
scenario2 rep041 wlogdate -237.51685287456405
scenario2 rep042 wlogdate -147.40642030909135
scenario2 rep043 wlogdate -70.16968007681498
scenario2 rep044 wlogdate -37.66498945707238
scenario2 rep045 wlogdate -67.10554707190425
scenario2 rep046 wlogdate -83.73843846417739
scenario2 rep047 wlogdate -530.7147561109796
scenario2 rep048 wlogdate -51.71386406534705
scenario2 rep049 wlogdate -83.39319436670093
scenario2 rep050 wlogdate -4.858880574514018
scenario2 rep051 wlogdate -138.9059418351016
scenario2 rep052 wlogdate 5.915043503290235
scenario2 rep053 wlogdate -55.39346919782912
scenario2 rep054 wlogdate -79.33817831751074
scenario2 rep055 wlogdate -50.06782865597427
scenario2 rep056 wlogdate -0.842707288270077
scenario2 rep057 wlogdate -91.99270017137502
scenario2 rep058 wlogdate -116.69833398093732
scenario2 rep059 wlogdate -80.27640352379245
scenario2 rep060 wlogdate -178.40097648485596
scenario2 rep061 wlogdate -141.46546128356022
scenario2 rep062 wlogdate 9.307094685351274
scenario2 rep063 wlogdate -77.63065352573
scenario2 rep064 wlogdate -17.310296273839697
scenario2 rep065 wlogdate -258.7494598335879
scenario2 rep066 wlogdate -105.26918465210989
scenario2 rep067 wlogdate -128.48751529869008
scenario2 rep068 wlogdate -30.36385308128041
scenario2 rep069 wlogdate 1.339116063754176
scenario2 rep070 wlogdate -105.32718102462621
scenario2 rep071 wlogdate -80.28152823454656
scenario2 rep072 wlogdate -132.144707455409
scenario2 rep073 wlogdate -81.6180641239392
scenario2 rep074 wlogdate -1.9744003658037457
scenario2 rep075 wlogdate -39.92773904747668
scenario2 rep076 wlogdate -82.24352207182741
scenario2 rep077 wlogdate -100.53159850543264
scenario2 rep078 wlogdate -51.9044881758262
scenario2 rep079 wlogdate -111.58786949713303
scenario2 rep080 wlogdate -65.69318844943368
scenario2 rep081 wlogdate -238.99148149819047
scenario2 rep082 wlogdate -28.804400852061377
scenario2 rep083 wlogdate -0.5621587794784944
scenario2 rep084 wlogdate -76.31733986479898
scenario2 rep085 wlogdate -135.1039021747671
scenario2 rep086 wlogdate -121.72688599016334
scenario2 rep087 wlogdate -79.88045572037845
scenario2 rep088 wlogdate -110.71641178281564
scenario2 rep089 wlogdate -92.67822845339097
scenario2 rep090 wlogdate -7.441252660557183
scenario2 rep091 wlogdate -224.92124389607653
scenario2 rep092 wlogdate -99.649071456711
scenario2 rep093 wlogdate -3.5862644686747274
scenario2 rep094 wlogdate 8.25594198075504
scenario2 rep095 wlogdate -91.87080186780847
scenario2 rep096 wlogdate -18.669135363758983
scenario2 rep097 wlogdate -30.7876784439637
scenario2 rep098 wlogdate -7.104670922257867
scenario2 rep099 wlogdate -113.63181526876093
scenario2 rep100 wlogdate -194.53563806601886
scenario3 rep001 wlogdate -57.90426441012545
scenario3 rep002 wlogdate -11.083319501715096
scenario3 rep003 wlogdate -1.1953588323436577
scenario3 rep004 wlogdate -28.45730824763487
scenario3 rep005 wlogdate 3.4173992135956723
scenario3 rep006 wlogdate -109.7446255630282
scenario3 rep007 wlogdate -68.37980582587141
scenario3 rep008 wlogdate -22.370947375343235
scenario3 rep009 wlogdate -100.53438734707336
scenario3 rep010 wlogdate -31.321983840740018
scenario3 rep011 wlogdate -15.045580070028251
scenario3 rep012 wlogdate -66.87396074898083
scenario3 rep013 wlogdate -7.801227107759956
scenario3 rep014 wlogdate -73.74143882830802
scenario3 rep015 wlogdate -65.95979475842157
scenario3 rep016 wlogdate -30.826246577274986
scenario3 rep017 wlogdate -27.36517115637716
scenario3 rep018 wlogdate -0.28280616409767845
scenario3 rep019 wlogdate -98.99511837321748
scenario3 rep020 wlogdate -12.845517007460302
scenario3 rep021 wlogdate -145.5098306626639
scenario3 rep022 wlogdate -49.11325837477949
scenario3 rep023 wlogdate -7.6032659809853556
scenario3 rep024 wlogdate -7.101536355341068
scenario3 rep025 wlogdate -19.497969209882797
scenario3 rep026 wlogdate -39.44120903105468
scenario3 rep027 wlogdate -15.404128216781146
scenario3 rep028 wlogdate -1.7656332927708718
scenario3 rep029 wlogdate -86.23834587399372
scenario3 rep030 wlogdate -62.67565634829495
scenario3 rep031 wlogdate -14.269972866920597
scenario3 rep032 wlogdate 6.744059427929017
scenario3 rep033 wlogdate 6.568462002295405
scenario3 rep034 wlogdate -11.998928058304386
scenario3 rep035 wlogdate -2.141987913826938
scenario3 rep036 wlogdate -4.380547928414728
scenario3 rep037 wlogdate -9.177773939421115
scenario3 rep038 wlogdate -5.824154782137043
