scenario method rep error
scenario5 BEAST_lnorm rep088 1.75399
scenario5 BEAST_lnorm rep089 1.78628
scenario5 BEAST_lnorm rep090 1.80312
scenario5 BEAST_lnorm rep091 1.75209
scenario5 BEAST_lnorm rep092 1.7319
scenario5 BEAST_lnorm rep093 1.76122
scenario5 BEAST_lnorm rep094 1.59761
scenario5 BEAST_lnorm rep095 1.73948
scenario5 BEAST_lnorm rep096 1.90155
scenario5 BEAST_lnorm rep097 1.84759
scenario5 BEAST_lnorm rep098 1.75307
scenario5 BEAST_lnorm rep099 1.80135
scenario5 BEAST_lnorm rep100 1.76786
